Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Piczle Lines DX 500 More Puzzles!,-70%,Matches previous low,$9.99,$2.99,Sale ends November 1
Röki,-20%,Lowest price ever,$19.99,$15.99,Sale ends November 1
Alien: Isolation,-43%,Lowest price ever,$34.99,$19.99,Sale ends November 3
LEGO The Incredibles,-70%,Matches previous low,$59.99,$17.99,Sale ends November 2
Wolfenstein: Youngblood Deluxe Edition,-31%,[],$39.99,$27.54,[]
Toki Tori 2+: Nintendo Switch Edition,-87%,[],$14.99,$1.99,Sale ends November 5
Sushi Striker: The Way of Sushido,-64%,[],$49.99,$17.99,[]
Indie Puzzle Bundle Vol 1,-85%,Matches previous low,$39.99,$5.99,Sale ends November 4
The Final Station,-10%,[],$19.99,$17.99,[]
Wuppo: Definitive Edition,-67%,Lowest price ever,$14.99,$4.99,Sale ends in 14 hours
Bleed,-75%,Matches previous low,$11.99,$2.99,Sale ends November 4
NAMCO MUSEUM ARCADE PAC,-25%,[],$39.99,$29.99,[]
The Jackbox Party Pack 6,-35%,Matches previous low,$29.99,$19.49,Sale ends November 2
JackQuest: The Tale of the Sword,-80%,[],$9.99,$1.99,Sale ends November 18
Brave Dungeon + Dark Witch Story:COMBAT,-20%,[],$8.99,$7.19,Sale ends in 23 hours
The Book of Unwritten Tales 2,-46%,[],$29.99,$16.19,[]
XCOM 2 Collection,-40%,Lowest price ever,$49.99,$29.83,[]
